trial,side,volume,scheduled_timestamp_utc,response_timestamp_utc,RT_seconds,resp_status,response_ts_sec,resp_phase,resp_phase_label
1,right,0.15,2025-11-30 19:34:06.954925,2025-11-30 19:34:07.468389,0.513464,hit,1764531247.468389,-1.0,exhalation
2,right,0.05,2025-11-30 19:34:10.954925,2025-11-30 19:34:11.471466,0.516541,hit,1764531251.471466,1.0,inhalation
3,left,0.1,2025-11-30 19:34:14.954925,2025-11-30 19:34:15.469883,0.514958,hit,1764531255.469883,-1.0,exhalation
4,right,0.15,2025-11-30 19:34:16.954925,2025-11-30 19:34:17.519950,0.565025,hit,1764531257.5199502,1.0,inhalation
5,right,0.05,2025-11-30 19:34:23.954925,2025-11-30 19:34:24.477399,0.522474,hit,1764531264.477399,-1.0,exhalation
6,right,0.1,2025-11-30 19:34:28.954925,2025-11-30 19:34:29.522117,0.567193,hit,1764531269.5221171,-1.0,exhalation
7,left,0.15,2025-11-30 19:34:32.954925,2025-11-30 19:34:33.417906,0.462981,hit,1764531273.4179058,-1.0,exhalation
8,right,0.05,2025-11-30 19:34:39.954925,2025-11-30 19:34:40.518279,0.563355,hit,1764531280.5182788,-1.0,exhalation
9,right,0.1,2025-11-30 19:34:46.954925,2025-11-30 19:34:47.408776,0.453852,hit,1764531287.408776,1.0,inhalation
10,left,0.1,2025-11-30 19:34:51.954925,2025-11-30 19:34:52.459198,0.504274,hit,1764531292.459198,-1.0,exhalation
11,left,0.1,2025-11-30 19:34:55.954925,2025-11-30 19:34:56.457691,0.502767,hit,1764531296.457691,-1.0,exhalation
12,left,0.15,2025-11-30 19:34:59.954925,2025-11-30 19:35:00.406913,0.451988,hit,1764531300.406913,1.0,inhalation
13,left,0.15,2025-11-30 19:35:06.954925,2025-11-30 19:35:07.438057,0.483133,hit,1764531307.438057,-1.0,exhalation
14,right,0.15,2025-11-30 19:35:11.954925,2025-11-30 19:35:12.413950,0.459025,hit,1764531312.41395,1.0,inhalation
15,left,0.1,2025-11-30 19:35:18.954925,2025-11-30 19:35:19.468871,0.513947,hit,1764531319.4688709,-1.0,exhalation
