trial,side,volume,scheduled_timestamp_utc,response_timestamp_utc,RT_seconds,resp_status,response_ts_sec,resp_phase,resp_phase_label
1,right,0.15,2025-11-30 11:58:59.676121,2025-11-30 11:59:00.271226,0.595105,hit,1764503940.2712262,-1.0,exhalation
2,right,0.05,2025-11-30 11:59:03.676121,2025-11-30 11:59:04.190090,0.513968,hit,1764503944.19009,1.0,inhalation
3,left,0.1,2025-11-30 11:59:07.676121,2025-11-30 11:59:08.453166,0.777044,hit,1764503948.453166,1.0,inhalation
4,right,0.15,2025-11-30 11:59:09.676121,2025-11-30 11:59:10.288466,0.612345,hit,1764503950.288466,-1.0,exhalation
5,right,0.05,2025-11-30 11:59:16.676121,2025-11-30 11:59:17.256784,0.580662,hit,1764503957.256784,-1.0,exhalation
6,right,0.1,2025-11-30 11:59:21.676121,2025-11-30 11:59:22.365959,0.689838,hit,1764503962.365959,-1.0,exhalation
7,left,0.15,2025-11-30 11:59:25.676121,2025-11-30 11:59:26.136592,0.460471,hit,1764503966.136592,-1.0,exhalation
8,right,0.05,2025-11-30 11:59:32.676121,2025-11-30 11:59:33.128891,0.45277,hit,1764503973.128891,-1.0,exhalation
9,right,0.1,2025-11-30 11:59:39.676121,2025-11-30 11:59:40.175728,0.499607,hit,1764503980.175728,1.0,inhalation
10,left,0.1,2025-11-30 11:59:44.676121,2025-11-30 11:59:45.140162,0.46404,hit,1764503985.140162,-1.0,exhalation
11,left,0.1,2025-11-30 11:59:48.676121,2025-11-30 11:59:49.086743,0.410621,hit,1764503989.086743,1.0,inhalation
12,left,0.15,2025-11-30 11:59:52.676121,2025-11-30 11:59:53.088592,0.41247,hit,1764503993.0885918,1.0,inhalation
13,left,0.15,2025-11-30 11:59:59.676121,2025-11-30 12:00:00.181940,0.505819,hit,1764504000.18194,-1.0,exhalation
14,right,0.15,2025-11-30 12:00:04.676121,2025-11-30 12:00:05.141206,0.465085,hit,1764504005.141206,-1.0,exhalation
15,left,0.1,2025-11-30 12:00:11.676121,2025-11-30 12:00:12.153673,0.477551,hit,1764504012.153673,1.0,inhalation
16,left,0.05,2025-11-30 12:00:16.676121,2025-11-30 12:00:17.188755,0.512633,hit,1764504017.188755,-1.0,exhalation
17,left,0.1,2025-11-30 12:00:18.676121,2025-11-30 12:00:19.167886,0.491764,hit,1764504019.167886,1.0,inhalation
18,right,0.15,2025-11-30 12:00:23.676121,2025-11-30 12:00:24.172826,0.496704,hit,1764504024.172826,1.0,inhalation
19,left,0.1,2025-11-30 12:00:27.676121,2025-11-30 12:00:28.046402,0.370281,hit,1764504028.046402,-1.0,exhalation
20,right,0.1,2025-11-30 12:00:32.676121,2025-11-30 12:00:33.082745,0.406623,hit,1764504033.082745,-1.0,exhalation
21,right,0.1,2025-11-30 12:00:34.676121,2025-11-30 12:00:35.132186,0.456065,hit,1764504035.1321862,1.0,inhalation
22,right,0.15,2025-11-30 12:00:36.676121,2025-11-30 12:00:37.058637,0.382516,hit,1764504037.0586371,1.0,inhalation
23,left,0.15,2025-11-30 12:00:38.676121,2025-11-30 12:00:39.080846,0.404725,hit,1764504039.080846,-1.0,exhalation
24,right,0.05,2025-11-30 12:00:45.676121,2025-11-30 12:00:46.268926,0.592805,hit,1764504046.268926,-1.0,exhalation
25,left,0.15,2025-11-30 12:00:50.676121,2025-11-30 12:00:51.151711,0.47559,hit,1764504051.151711,-1.0,exhalation
26,left,0.1,2025-11-30 12:00:54.676121,2025-11-30 12:00:55.131854,0.455732,hit,1764504055.131854,-1.0,exhalation
27,right,0.15,2025-11-30 12:00:56.676121,2025-11-30 12:00:57.162061,0.48594,hit,1764504057.162061,1.0,inhalation
28,right,0.15,2025-11-30 12:00:58.676121,2025-11-30 12:00:59.098991,0.42287,hit,1764504059.0989912,-1.0,exhalation
29,left,0.05,2025-11-30 12:01:02.676121,2025-11-30 12:01:03.128125,0.452003,hit,1764504063.128125,-1.0,exhalation
30,right,0.05,2025-11-30 12:01:09.676121,2025-11-30 12:01:10.124022,0.447901,hit,1764504070.124022,1.0,inhalation
31,left,0.05,2025-11-30 12:01:16.676121,2025-11-30 12:01:17.256631,0.580509,hit,1764504077.2566311,1.0,inhalation
32,right,0.05,2025-11-30 12:01:23.676121,2025-11-30 12:01:24.203043,0.526922,hit,1764504084.203043,-1.0,exhalation
33,right,0.05,2025-11-30 12:01:25.676121,2025-11-30 12:01:26.163703,0.487582,hit,1764504086.163703,1.0,inhalation
34,right,0.15,2025-11-30 12:01:30.676121,2025-11-30 12:01:31.095321,0.419199,hit,1764504091.0953212,1.0,inhalation
35,right,0.05,2025-11-30 12:01:32.676121,2025-11-30 12:01:33.101780,0.425659,hit,1764504093.10178,-1.0,exhalation
36,right,0.15,2025-11-30 12:01:36.676121,2025-11-30 12:01:37.086775,0.410653,hit,1764504097.086775,-1.0,exhalation
37,left,0.1,2025-11-30 12:01:41.676121,2025-11-30 12:01:42.112059,0.435938,hit,1764504102.1120589,-1.0,exhalation
38,left,0.1,2025-11-30 12:01:45.676121,2025-11-30 12:01:46.122788,0.446666,hit,1764504106.1227882,-1.0,exhalation
39,right,0.15,2025-11-30 12:01:52.676121,2025-11-30 12:01:53.307678,0.631557,hit,1764504113.307678,1.0,inhalation
40,right,0.05,2025-11-30 12:01:59.676121,2025-11-30 12:02:00.215481,0.53936,hit,1764504120.215481,-1.0,exhalation
41,left,0.15,2025-11-30 12:02:03.676121,2025-11-30 12:02:04.290367,0.614246,hit,1764504124.290367,-1.0,exhalation
42,left,0.05,2025-11-30 12:02:08.676121,2025-11-30 12:02:09.240399,0.564278,hit,1764504129.2403991,-1.0,exhalation
43,left,0.1,2025-11-30 12:02:13.676121,2025-11-30 12:02:14.222984,0.546862,hit,1764504134.2229838,-1.0,exhalation
44,left,0.15,2025-11-30 12:02:20.676121,2025-11-30 12:02:21.278432,0.602311,hit,1764504141.278432,-1.0,exhalation
45,left,0.1,2025-11-30 12:02:22.676121,2025-11-30 12:02:23.209700,0.533578,hit,1764504143.2097,1.0,inhalation
46,right,0.1,2025-11-30 12:02:27.676121,2025-11-30 12:02:28.275378,0.599256,hit,1764504148.275378,-1.0,exhalation
